Time,,FFT complex,Frequency ,Magnitude
606,,-0.069103-14.220470i,976.5625,0.013887342
608,,-16.245007-17.046759i,981.4453125,0.022995761
611,,1.038370-47.083094i,986.328125,0.045990764
613,,-27.139328-27.857591i,991.2109375,0.037980479
615,,-10.751918-52.489565i,996.09375,0.052323688
617,,-6.606697-14.329888i,1000.976563,0.015409715
619,,-24.549921+2.774517i,1005.859375,0.024127153
622,,-2.558434-35.947362i,1010.742188,0.035193644
623,,-46.371792-3.105247i,1015.625,0.045386373
624,,-10.580235-35.579595i,1020.507813,0.036249402
625,,-3.405690-43.382047i,1025.390625,0.042495628
625,,-18.823133-33.885890i,1030.273438,0.037854413
626,,-28.519873-22.594465i,1035.15625,0.035532559
627,,-11.998030-57.667343i,1040.039063,0.057521729
626,,-1.996096-29.393368i,1044.921875,0.028770573
626,,-9.969376-54.709004i,1049.804688,0.054306566
625,,48.585020+18.797792i,1054.6875,0.050873762
625,,19.724943-15.579143i,1059.570313,0.024546187
625,,-52.130484+16.772445i,1064.453125,0.053478744
624,,23.444046-10.836029i,1069.335938,0.025221848
623,,-26.150770-27.395112i,1074.21875,0.036985233
623,,-41.764487-22.426532i,1079.101563,0.046293818
623,,-2.773389-72.945854i,1083.984375,0.071287653
622,,7.447568-5.730465i,1088.867188,0.009176804
622,,-17.014649-25.092976i,1093.75,0.029607013
620,,-25.309750-11.111689i,1098.632813,0.026993662
620,,4.092851-20.541131i,1103.515625,0.020454019
618,,1.222896-34.480087i,1108.398438,0.033693131
617,,-13.015544-42.209401i,1113.28125,0.043135307
615,,3.380188-51.453102i,1118.164063,0.050355481
613,,-15.792116+33.292491i,1123.046875,0.035984452
611,,-26.611483-28.099326i,1127.929688,0.037793639
609,,-41.988357-19.823488i,1132.8125,0.045344404
607,,-15.014194-23.872032i,1137.695313,0.0275401
604,,-3.097473-33.294120i,1142.578125,0.032654194
601,,4.807334+0.160750i,1147.460938,0.004697286
599,,-16.893299-17.003597i,1152.34375,0.023407082
596,,-9.093606-12.633566i,1157.226563,0.015201181
593,,6.317539-4.657817i,1162.109375,0.007665024
590,,0.898762-40.672613i,1166.992188,0.039729045
587,,28.213901-16.445577i,1171.875,0.031891625
585,,-41.153557-0.206391i,1176.757813,0.040189526
582,,4.553759-5.992792i,1181.640625,0.007350232
579,,-17.347203-19.738773i,1186.523438,0.02566232
576,,9.494800-6.694427i,1191.40625,0.011345226
572,,-19.223209+17.900403i,1196.289063,0.025651384
569,,-14.272452-17.154541i,1201.171875,0.021792472
565,,-3.948544-1.716900i,1206.054688,0.00420475
562,,-8.947294-5.634308i,1210.9375,0.010325711
559,,15.067993-7.293123i,1215.820313,0.016347845
556,,1.500689-20.389361i,1220.703125,0.019965345
553,,-6.880359-9.061529i,1225.585938,0.011110975
550,,13.804323-17.920983i,1230.46875,0.022091065
547,,41.093416-32.301746i,1235.351563,0.051044163
544,,-8.944702-17.237200i,1240.234375,0.018964652
541,,3.581585+5.277298i,1245.117188,0.006228419
