Source,CH1
Second,Volt
-1.96319997311,-0.04000,
-1.96309995651,-0.05600,
-1.96299993992,-0.05600,
-1.96289992332,-0.06400,
-1.96279990673,-0.06000,
-1.96270000935,-0.08000,
-1.96259999275,-0.11200,
-1.96249997616,-0.10400,
-1.96239995956,-0.09200,
-1.96229994297,-0.07200,
-1.96219992638,-0.07600,
-1.96209990978,-0.10800,
-1.96199989319,-0.14800,
-1.96189999580,-0.14400,
-1.96179997921,-0.13200,
-1.96169996262,-0.10800,
-1.96159994602,-0.11600,
-1.96149992943,-0.13200,
-1.96139991283,-0.16400,
-1.96129989624,-0.15600,
-1.96119999886,-0.15200,
-1.96109998226,-0.13200,
-1.96099996567,-0.11600,
-1.96089994907,-0.11600,
-1.96079993248,-0.13600,
-1.96069991589,-0.16800,
-1.96059989929,-0.16400,
-1.96050000191,-0.16800,
-1.96039998531,-0.15600,
-1.96029996872,-0.15600,
-1.96019995213,-0.16400,
-1.96009993553,-0.18000,
-1.95999991894,-0.18400,
-1.95989990234,-0.18400,
-1.95980000496,-0.19200,
-1.95969998837,-0.18400,
-1.95959997177,-0.20800,
-1.95949995518,-0.20400,
-1.95939993858,-0.16400,
-1.95929992199,-0.16800,
-1.95919990540,-0.18800,
-1.95910000801,-0.20000,
-1.95899999142,-0.23200,
-1.95889997482,-0.24800,
-1.95879995823,-0.20800,
-1.95869994164,-0.15600,
-1.95859992504,-0.15200,
-1.95849990845,-0.18400,
-1.95839989185,-0.23200,
-1.95829999447,-0.26800,
-1.95819997787,-0.25200,
-1.95809996128,-0.20000,
-1.95799994469,-0.14800,
-1.95789992809,-0.14800,
-1.95779991150,-0.18000,
-1.95769989491,-0.23200,
-1.95759999752,-0.22800,
-1.95749998093,-0.23200,
-1.95739996433,-0.18400,
-1.95729994774,-0.14400,
-1.95719993114,-0.14400,
-1.95709991455,-0.20000,
-1.95699989796,-0.21600,
-1.95690000057,-0.20000,
-1.95679998398,-0.20400,
-1.95669996738,-0.14400,
-1.95659995079,-0.12000,
-1.95649993420,-0.12400,
-1.95639991760,-0.18000,
-1.95629990101,-0.15200,
-1.95620000362,-0.12800,
-1.95609998703,-0.13200,
-1.95599997044,-0.13200,
-1.95589995384,-0.13600,
-1.95579993725,-0.10400,
-1.95569992065,-0.09600,
-1.95559990406,-0.08000,
-1.95550000668,-0.11200,
-1.95539999008,-0.10000,
-1.95529997349,-0.11600,
-1.95519995689,-0.12000,
-1.95509994030,-0.08800,
-1.95499992371,-0.06800,
-1.95489990711,-0.07200,
-1.95480000973,-0.06800,
-1.95469999313,-0.10400,
-1.95459997654,-0.10000,
-1.95449995995,-0.09600,
-1.95439994335,-0.07200,
-1.95429992676,-0.03200,
-1.95419991016,-0.03600,
-1.95409989357,-0.08400,
-1.95399999619,-0.07600,
-1.95389997959,-0.05600,
-1.95379996300,-0.04800,
-1.95369994640,-0.01600,
-1.95359992981,0.01600,
-1.95349991322,0.01600,
-1.95339989662,-0.02000,
-1.95329999924,-0.02400,
-1.95319998264,0.02400,
-1.95309996605,0.03200,
-1.95299994946,0.05200,
-1.95289993286,0.05200,
-1.95279991627,0.04800,
-1.95269989967,0.06000,
-1.95260000229,0.06000,
-1.95249998569,0.07600,
-1.95239996910,0.08000,
-1.95229995251,0.09600,
-1.95219993591,0.12800,
-1.95209991932,0.08000,
-1.95199990273,0.09200,
-1.95190000534,0.09200,
-1.95179998875,0.10800,
-1.95169997215,0.12000,
-1.95159995556,0.15600,
-1.95149993896,0.14000,
-1.95139992237,0.10400,
-1.95129990578,0.10400,
-1.95120000839,0.11200,
-1.95109999180,0.14000,
-1.95099997520,0.15600,
-1.95089995861,0.15600,
-1.95079994202,0.14400,
-1.95069992542,0.12000,
-1.95059990883,0.10400,
-1.95049989223,0.12000,
-1.95039999485,0.15600,
-1.95029997826,0.16400,
-1.95019996166,0.16000,
-1.95009994507,0.15200,
-1.94999992847,0.14400,
-1.94989991188,0.14000,
-1.94979989529,0.15600,
-1.94969999790,0.17600,
-1.94959998131,0.18000,
